Color_code,Ant_color,Date,Comments
GGG,brown,2023-11-20,
YY,brown,2023-11-20,
YYY,black,2023-11-20,
YYG,black,2023-11-20,
YG,brown,2023-11-20,
YGY,black,2023-11-20,
GGY,brown,2023-11-20,
GYG,brown,2023-11-20,
GYY,black,2023-11-20,
YGG,black,2023-11-20,
VVV,black,2023-11-20,
GV,black,2023-11-20,
GVV,black,2023-11-20,
VVG,black,2023-11-24,
VGV,black,2023-11-24,
VGG,black,2023-11-24,
GVV,black,2023-11-24,
GGV,black,2023-11-24,
VVG,brown,2023-11-24,
VGV,brown,2023-11-24,
VGG,brown,2023-11-24,
VG,black,2023-11-24,
VOV,black,2023-11-24,
OOO,black,2023-11-24,
OGO,black,2023-11-24,
