Color_code,Ant_color,Date
GGGG, black,2023-11-20
GGYG, black,2023-11-20
GYG, black,2023-11-20
GGGG, black,2023-11-20
VVV, black,2023-11-24
VVG, black,2023-11-24
VGG, black,2023-11-24
VGV, black,2023-11-24
GGV, black,2023-11-24
GVV, black,2023-11-24
GVGV, black,2023-11-24
BBBB, black,2023-11-27 18:14:04.070556
BB, black,2023-11-27 18:14:49.454619
BBBO, black,2023-11-27 18:20:27.421809
BOO, black,2023-11-27
BBO, black,2023-11-27
OOBB, black,2023-11-27
BBOO, black,2023-11-27
BO, black,2023-11-27
OOB, black,2023-11-27
VOOV, black,2023-11-27
OVV, black,2023-11-27
OVVO, black,2023-11-27
RR, brown,2023-12-01 14:58:39.730027
YB, brown,2023-12-01 15:00:14.025271
BY, brown,2023-12-01 15:01:19.491403
GB, brown,2023-12-01 15:04:26.185806
, brown,2023-12-01 15:08:04.716496
BBY, brown,2023-12-01 15:08:19.687503
YBB, black,2023-12-01 15:09:37.103235
YBY, black,2023-12-01 15:11:07.824261
BYB, black,2023-12-01 15:13:02.420677
OG, brown,2023-12-01 15:15:43.785925
BOB, black,2023-12-01 15:17:09.544332
OOO, black,2023-12-01 15:18:39.830688
BOR, black,2023-12-01 15:20:12.002621
RB, black,2023-12-01 15:21:35.172597
BRB, black,2023-12-01 15:22:48.465931
RO, brown,2023-12-03 20:36:49.079492
OR, brown,2023-12-03 20:41:24.990049
